Data_Status,State,MSN,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
2022F,AK,B1PRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022F,AK,B1PRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022F,AK,BDFDB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,27,29,15,0,0,0,0
2022F,AK,BDPRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,3,0,0,0,0
2022F,AK,BFPRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,27,29,15,0,0,0,0
2022F,AK,BFPRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,3,0,0,0,0
2022F,AK,BOPRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022F,AK,BOPRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022F,AK,CLPRB,11263,11497,13588,13307,11622,13931,14461,14430,11700,10405,8564,10889,10421,10826,10920,11950,11014,10998,11404,12308,12340,12605,12995,12262,13400,22355,24492,23275,27222,24679,26614,22402,23930,24976,24445,26489,23104,22620,20966,24414,25600,23618,17878,16864,23587,22682,22230,20654,23041,29016,33556,33524,31332,24917,22944,17747,13942,14365,13752,14867,15523,15838,15451
2022F,AK,CLPRK,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.268,15.272,15.278,15.073,14.957,14.978,15.253,15.252,15.206,15.196,15.233
2022F,AK,CLPRP,722,737,871,853,745,893,927,925,750,667,549,698,668,694,700,766,706,705,731,789,791,808,833,786,859,1433,1570,1492,1745,1582,1706,1436,1534,1601,1567,1698,1481,1450,1344,1565,1641,1514,1146,1081,1512,1454,1425,1324,1477,1860,2151,2149,2052,1632,1502,1177,932,959,902,975,1021,1042,1014
2022F,AK,COPRK,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.717,5.722,5.723,5.706,5.698,5.691,5.69,5.684
2022F,AK,EMFDB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022F,AK,ENPRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022F,AK,GETCB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,51,51,51,51,51,51,51,51,51,86,86,86,86,89,88,90,87,87,130,151,153,214,186,186,186,186,186,186,186,186,186,186,186
2022F,AK,HYTCB,989,1015,1036,1110,1100,1193,1079,1238,1241,1163,1237,1240,1182,977,1113,1218,1308,1747,1610,1565,1839,2014,1916,2025,2364,2553,2759,2974,3192,2977,3325,3058,3133,4446,4591,4682,4319,3750,3799,2786,3418,4591,4911,5400,5111,4995,4175,4406,3998,4517,4890,4588,5374,4898,5250,5353,5661,5608,5678,5539,6019,5763,5846
2022F,AK,NCPRB,989,1015,1036,1110,1100,1193,1079,1238,1241,1163,1237,1240,1182,977,1113,1218,1308,1747,1610,1565,1839,2014,1916,2025,2364,2553,2759,2974,3192,3029,3377,3109,3184,4497,4642,4733,4371,3801,3850,2873,3505,4681,4997,5489,5199,5087,4265,4496,4131,4694,5089,4847,5691,5583,5958,6087,6432,6287,6406,6229,6669,6445,6564
