State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 AK ," 59,303 "," 70,020 "," 76,642 "," 78,488 "," 82,793 "," 85,319 "," 100,481 "," 112,625 "," 119,992 "," 154,232 "," 179,470 "," 198,395 "," 211,964 "," 194,968 "," 199,194 "," 229,676 "," 251,979 "," 289,893 "," 320,731 "," 296,592 "," 291,985 "," 275,504 "," 405,103 "," 433,409 "," 478,019 "," 469,166 "," 498,563 "," 493,105 "," 514,932 "," 570,067 "," 577,270 "," 596,366 "," 620,875 "," 614,626 "," 613,753 "," 694,594 "," 709,979 "," 701,267 "," 715,652 "," 719,766 "," 735,260 "," 726,425 "," 723,178 "," 722,848 "," 765,126 "," 788,076 "," 738,490 "," 714,864 "," 642,951 "," 630,829 "," 629,962 "," 632,298 "," 620,805 "," 587,460 "," 586,053 "," 602,906 "," 582,922 "," 590,212 "," 593,292 "," 595,231 "," 629,029 "," 688,282 "," 724,059 "
 AL ," 842,283 "," 806,682 "," 853,424 "," 885,811 "," 949,411 "," 1,011,125 "," 1,055,347 "," 1,100,904 "," 1,208,038 "," 1,298,562 "," 1,349,405 "," 1,338,719 "," 1,430,589 "," 1,479,232 "," 1,493,276 "," 1,465,789 "," 1,503,723 "," 1,584,720 "," 1,589,735 "," 1,600,732 "," 1,597,446 "," 1,560,204 "," 1,450,995 "," 1,395,242 "," 1,493,906 "," 1,475,311 "," 1,458,334 "," 1,541,794 "," 1,616,129 "," 1,638,956 "," 1,599,432 "," 1,618,216 "," 1,691,870 "," 1,744,734 "," 1,822,330 "," 1,907,458 "," 1,935,016 "," 1,903,449 "," 1,946,380 "," 2,002,228 "," 2,065,056 "," 1,859,586 "," 1,920,028 "," 1,897,039 "," 2,017,763 "," 2,018,906 "," 2,050,913 "," 2,067,459 "," 1,976,568 "," 1,749,847 "," 1,906,254 "," 1,882,463 "," 1,863,418 "," 1,882,362 "," 1,929,314 "," 1,880,544 "," 1,895,744 "," 1,867,484 "," 1,913,464 "," 1,883,941 "," 1,793,090 "," 1,924,516 "," 1,902,374 "
 AR ," 417,153 "," 423,192 "," 446,994 "," 474,761 "," 515,874 "," 515,759 "," 553,146 "," 581,814 "," 620,382 "," 664,066 "," 691,896 "," 682,389 "," 725,860 "," 801,202 "," 777,116 "," 763,584 "," 818,585 "," 867,684 "," 863,565 "," 849,130 "," 834,372 "," 801,407 "," 768,781 "," 770,586 "," 774,080 "," 768,517 "," 739,016 "," 718,177 "," 801,908 "," 863,033 "," 829,674 "," 818,074 "," 847,533 "," 912,973 "," 951,014 "," 1,002,777 "," 1,025,669 "," 1,039,783 "," 1,061,551 "," 1,083,254 "," 1,124,742 "," 1,078,834 "," 1,095,221 "," 1,083,764 "," 1,069,232 "," 1,094,823 "," 1,103,087 "," 1,108,814 "," 1,082,242 "," 1,019,286 "," 1,108,901 "," 1,115,060 "," 1,064,957 "," 1,092,848 "," 1,108,345 "," 1,043,455 "," 1,036,998 "," 1,043,543 "," 1,103,282 "," 1,078,044 "," 1,010,754 "," 1,054,467 "," 1,052,517 "
 AZ ," 273,431 "," 294,660 "," 313,581 "," 337,213 "," 357,961 "," 362,858 "," 390,820 "," 400,280 "," 442,172 "," 481,370 "," 502,886 "," 534,558 "," 595,492 "," 648,638 "," 650,824 "," 634,126 "," 667,849 "," 720,003 "," 724,401 "," 761,540 "," 729,272 "," 762,578 "," 717,832 "," 726,638 "," 772,368 "," 813,921 "," 822,415 "," 838,472 "," 881,963 "," 912,149 "," 912,983 "," 923,446 "," 954,555 "," 968,200 "," 1,020,281 "," 1,051,644 "," 1,112,722 "," 1,125,743 "," 1,185,968 "," 1,235,022 "," 1,289,942 "," 1,302,277 "," 1,298,188 "," 1,319,583 "," 1,372,384 "," 1,411,766 "," 1,458,004 "," 1,467,180 "," 1,433,644 "," 1,350,479 "," 1,403,878 "," 1,429,424 "," 1,403,421 "," 1,419,110 "," 1,422,839 "," 1,439,724 "," 1,462,217 "," 1,462,699 "," 1,474,472 "," 1,493,085 "," 1,435,329 "," 1,481,293 "," 1,526,882 "
 CA ," 3,360,697 "," 3,513,822 "," 3,623,382 "," 3,825,677 "," 4,112,125 "," 4,267,121 "," 4,525,141 "," 4,703,411 "," 4,979,463 "," 5,206,803 "," 5,349,033 "," 5,585,821 "," 5,709,669 "," 5,890,331 "," 5,651,469 "," 5,852,102 "," 6,017,642 "," 6,232,973 "," 6,313,568 "," 6,565,989 "," 6,383,232 "," 6,183,021 "," 5,899,763 "," 5,907,152 "," 6,351,329 "," 6,439,167 "," 6,335,080 "," 6,795,178 "," 7,018,321 "," 7,265,036 "," 7,120,826 "," 7,011,231 "," 7,020,561 "," 6,715,658 "," 6,974,865 "," 6,837,236 "," 6,926,290 "," 7,063,176 "," 7,331,105 "," 7,365,674 "," 7,504,612 "," 7,610,078 "," 7,595,049 "," 7,454,129 "," 7,835,668 "," 7,741,970 "," 7,785,760 "," 7,923,316 "," 7,748,638 "," 7,425,448 "," 7,265,499 "," 7,178,515 "," 7,065,316 "," 7,162,622 "," 7,073,527 "," 7,169,881 "," 7,168,226 "," 7,176,823 "," 7,317,326 "," 7,258,664 "," 6,462,830 "," 6,808,107 "," 6,882,442 "
 CO ," 417,013 "," 453,816 "," 459,822 "," 457,373 "," 488,833 "," 498,729 "," 521,816 "," 543,833 "," 611,043 "," 635,561 "," 663,966 "," 676,838 "," 740,855 "," 786,248 "," 768,388 "," 765,161 "," 800,732 "," 820,659 "," 831,741 "," 836,818 "," 818,498 "," 795,488 "," 807,902 "," 804,336 "," 841,649 "," 846,243 "," 835,101 "," 845,282 "," 881,005 "," 892,223 "," 933,527 "," 980,904 "," 984,390 "," 1,048,764 "," 1,053,680 "," 1,075,533 "," 1,125,733 "," 1,119,835 "," 1,172,701 "," 1,191,909 "," 1,257,656 "," 1,358,653 "," 1,358,529 "," 1,360,444 "," 1,388,344 "," 1,419,633 "," 1,432,294 "," 1,463,499 "," 1,451,812 "," 1,429,981 "," 1,480,617 "," 1,425,353 "," 1,393,184 "," 1,417,745 "," 1,429,945 "," 1,437,163 "," 1,392,337 "," 1,395,893 "," 1,444,798 "," 1,482,498 "," 1,348,654 "," 1,388,899 "," 1,464,010 "
 CT ," 496,298 "," 505,953 "," 523,254 "," 532,247 "," 549,692 "," 554,317 "," 593,831 "," 606,150 "," 630,827 "," 647,335 "," 673,492 "," 660,770 "," 695,699 "," 721,282 "," 690,428 "," 666,939 "," 721,053 "," 731,889 "," 748,555 "," 735,534 "," 708,289 "," 676,092 "," 673,204 "," 662,588 "," 691,613 "," 702,339 "," 717,725 "," 744,352 "," 778,584 "," 790,516 "," 772,489 "," 772,348 "," 807,110 "," 793,436 "," 796,851 "," 779,891 "," 807,830 "," 796,695 "," 783,855 "," 829,664 "," 841,087 "," 826,497 "," 811,457 "," 888,117 "," 903,000 "," 871,740 "," 816,313 "," 838,604 "," 770,215 "," 762,917 "," 767,147 "," 739,757 "," 725,888 "," 744,468 "," 748,487 "," 754,313 "," 722,145 "," 725,063 "," 750,548 "," 729,817 "," 660,310 "," 692,868 "," 707,635 "
 DC ," 115,737 "," 113,840 "," 115,913 "," 116,637 "," 127,494 "," 153,758 "," 164,156 "," 176,165 "," 175,877 "," 188,885 "," 199,069 "," 192,227 "," 181,958 "," 186,586 "," 164,342 "," 156,103 "," 157,938 "," 158,285 "," 153,934 "," 146,139 "," 146,689 "," 143,116 "," 156,109 "," 154,037 "," 158,980 "," 158,697 "," 167,001 "," 167,535 "," 169,107 "," 173,198 "," 180,636 "," 186,181 "," 187,410 "," 194,596 "," 189,663 "," 191,627 "," 183,930 "," 180,824 "," 182,578 "," 185,034 "," 194,839 "," 190,410 "," 191,594 "," 188,465 "," 196,182 "," 196,025 "," 181,705 "," 189,382 "," 178,012 "," 180,611 "," 184,217 "," 174,645 "," 163,740 "," 166,265 "," 169,997 "," 169,393 "," 163,675 "," 155,184 "," 161,998 "," 157,272 "," 132,125 "," 139,840 "," 141,046 "
 DE ," 153,726 "," 147,678 "," 158,977 "," 169,737 "," 169,803 "," 180,486 "," 188,475 "," 182,891 "," 201,693 "," 213,604 "," 213,921 "," 216,325 "," 226,448 "," 240,308 "," 222,261 "," 212,526 "," 223,383 "," 223,234 "," 220,704 "," 239,047 "," 236,880 "," 190,684 "," 181,170 "," 191,692 "," 214,173 "," 209,389 "," 210,957 "," 222,263 "," 229,414 "," 235,488 "," 251,171 "," 254,456 "," 260,364 "," 265,800 "," 261,025 "," 262,221 "," 271,563 "," 271,024 "," 271,046 "," 283,315 "," 303,879 "," 290,542 "," 304,846 "," 300,831 "," 286,998 "," 297,776 "," 285,682 "," 291,496 "," 288,613 "," 255,658 "," 262,944 "," 280,883 "," 279,750 "," 276,486 "," 276,230 "," 280,069 "," 276,549 "," 274,181 "," 292,542 "," 291,342 "," 263,492 "," 280,811 "," 274,796 "
 FL ," 783,376 "," 820,633 "," 917,001 "," 962,029 "," 1,013,935 "," 1,071,226 "," 1,138,189 "," 1,174,126 "," 1,297,961 "," 1,393,446 "," 1,513,915 "," 1,603,057 "," 1,730,274 "," 1,917,545 "," 1,842,485 "," 1,853,431 "," 1,982,044 "," 2,153,266 "," 2,244,444 "," 2,339,943 "," 2,426,745 "," 2,400,474 "," 2,303,770 "," 2,349,196 "," 2,446,324 "," 2,601,036 "," 2,677,412 "," 2,779,486 "," 2,960,574 "," 3,143,302 "," 3,275,218 "," 3,236,549 "," 3,306,983 "," 3,338,698 "," 3,458,320 "," 3,604,864 "," 3,677,088 "," 3,699,302 "," 3,850,212 "," 3,907,612 "," 4,067,861 "," 4,051,537 "," 4,161,011 "," 4,180,952 "," 4,334,505 "," 4,406,559 "," 4,459,893 "," 4,404,000 "," 4,249,421 "," 4,098,315 "," 4,304,604 "," 4,148,487 "," 4,048,914 "," 4,107,826 "," 4,152,863 "," 4,303,081 "," 4,338,511 "," 4,320,757 "," 4,405,578 "," 4,330,771 "," 3,947,125 "," 4,251,080 "," 4,324,987 "
